ObjectID,Crop,Variety,Seed_Date,Brand,Tray_Type,Is_Donation,Qty_Raw,Cols_Seeded,Cols_Per_Tray,Cells_Per_Tray,Trays_Seeded,Trays_Donated,Total_Trays,Est_Seedlings,Germ_Rate_Pct,Seed_Expiry,Units_Germinated
1,Sweet or Seasoning Peppers,Aji dulce,2026-03-12,Sistah seeds,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,93.0,,
2,Hot Peppers,Trinidad seasoning,2026-03-12,Sistah seeds,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,87.0,,
3,Hot Peppers,Chocolate scotch bonnet,2026-03-12,Sistah seeds,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,92.0,,
4,Hot Peppers,Pepperpot,2026-03-12,Sistah seeds,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,82.0,,
5,Hot Peppers,Habanero orange,2026-03-12,Garden perfect,Open Flat,False,2.0,2.0,6,,0.3333333333333333,,0.3333333333333333,,,2023-12-31 17:00:00,
6,Sweet or Seasoning Peppers,Sweet banana,2026-03-12,Garden perfect,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,2023-12-31 17:00:00,
7,Hot Peppers,Early jalapeno,2026-03-12,Garden perfect,Open Flat,False,2.0,2.0,6,,0.3333333333333333,,0.3333333333333333,,,2023-12-31 17:00:00,
8,Hot Peppers,Red cayenne,2026-03-12,Garden perfect,Open Flat,False,2.0,2.0,6,,0.3333333333333333,,0.3333333333333333,,,2023-12-31 17:00:00,
9,Tomato,Sun golds,2026-03-12,Botanical interests,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,2026-12-31 17:00:00,
10,Tomato,Cali wonder,2026-03-12,Botanical interests,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,,
11,Tomato,Beefsteak,2026-03-12,High mowing,Open Flat,False,2.0,2.0,6,,0.3333333333333333,,0.3333333333333333,,,,
12,Tomato,Amish paste,2026-03-12,High moving,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,2024-12-31 17:00:00,
13,Tomato,Toma verde,2026-03-12,Garden perfect,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,2023-12-31 17:00:00,
